deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
51B10591,10.787833,106.73559,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B10796,10.855248,106.74697,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B10852,10.781248,106.76428,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B12083,10.854818,106.76024,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B12534,10.95866,106.63355,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B12767,10.873941,106.613174,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53L9760,10.954945,106.611885,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53M1112,10.790038,106.7532,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
53M1338,10.791899,106.750885,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53M1897,10.784418,106.76691,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53M2850,10.941975,106.540474,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53M3962,10.790029,106.756935,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53M3973,10.793714,106.798,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53M4012,11.027904,106.55594,0.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
53M7121,10.778227,106.7604,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53M7288,10.793509,106.79807,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53M7476,10.947655,106.60542,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53M9145,10.837365,106.75294,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53M9874,10.870419,106.76389,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53N3457,10.847348,106.75158,0.0,0.0,0,1,1,Wed Sep 10 00:00:00 ICT 2014
53N3546,10.98478,106.52004,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53N7755,10.97319,106.58493,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
53S3836,10.693415,106.65315,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53S4447,10.965883,106.51655,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53S4910,10.790053,106.75322,0.0,0.0,0,1,1,Wed Sep 10 00:00:01 ICT 2014
53S5994,11.0187435,106.5598,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S6091,10.961741,106.64168,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S7516,10.953783,106.61205,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S7710,10.968302,106.58919,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8314,10.833652,106.77704,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8423,11.001325,106.594826,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8525,10.858619,106.80122,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53S8577,10.858499,106.80142,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8619,10.83367,106.77712,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
53S8666,10.858408,106.801384,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8800,10.833649,106.77715,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53S8807,10.961463,106.641685,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53U1645,10.81166,106.8586,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
53U1923,10.833036,106.75691,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
53U2104,10.789244,106.7585,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
54X7076,10.8197,106.5547,0.0,0.0,0,1,0,Wed Sep 10 00:00:29 ICT 2014
53N5124,10.752545,106.62368,0.0,0.0,0,1,0,Wed Sep 10 00:00:29 ICT 2014
51C19754,10.763631,106.59747,0.0,0.0,0,1,0,Wed Sep 10 00:00:18 ICT 2014
51C29947,10.719311,106.5735,0.0,0.0,0,1,0,Wed Sep 10 00:00:14 ICT 2014
54X2489,10.80719,106.66061,0.0,0.0,0,1,0,Wed Sep 10 00:00:22 ICT 2014
61L6941,10.78977,106.71694,0.0,0.0,0,1,0,Wed Sep 10 00:00:18 ICT 2014
51C35866,10.75205,106.731575,0.0,0.0,0,1,0,Wed Sep 10 00:00:29 ICT 2014
53U1557,10.7973,106.6452,0.0,0.0,0,1,0,Wed Sep 10 00:00:30 ICT 2014
51C27623,10.897663,106.82371,0.0,0.0,0,1,0,Wed Sep 10 00:00:19 ICT 2014
51B08220,10.74524,106.6651,0.0,0.0,0,1,0,Wed Sep 10 00:00:30 ICT 2014
02245,10.888483,106.81671,0.0,0.0,0,1,0,Wed Sep 10 00:00:19 ICT 2014
53S6279,10.69613,106.74173,0.0,0.0,0,1,0,Wed Sep 10 00:00:25 ICT 2014
54U3109,10.95569,107.03027,46.0,0.0,0,1,1,Wed Sep 10 00:00:29 ICT 2014
51C27563,10.8976,106.823715,0.0,0.0,0,1,0,Wed Sep 10 00:00:31 ICT 2014
53N4881,10.7676735,106.68905,0.0,0.0,0,1,0,Wed Sep 10 00:00:31 ICT 2014
51E00863,10.760278,106.73456,0.0,0.0,0,1,1,Wed Sep 10 00:00:20 ICT 2014
16H9507,10.728166,106.694695,15.0,0.0,0,1,1,Wed Sep 10 00:00:31 ICT 2014
54V5319,10.85118,106.78421,0.0,0.0,0,1,1,Wed Sep 10 00:00:26 ICT 2014
53N4232,10.895097,106.57899,0.0,0.0,0,1,0,Wed Sep 10 00:00:32 ICT 2014
51C24189,10.89703,106.801,0.0,0.0,0,1,1,Wed Sep 10 00:00:28 ICT 2014
51C04810,10.849238,106.58553,0.0,0.0,0,1,0,Wed Sep 10 00:00:32 ICT 2014
53M3765,10.680345,106.748726,0.0,0.0,0,1,0,Wed Sep 10 00:00:33 ICT 2014
